epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,12738.5,0.67647,0.38779,1.0361,0.92684,0.88714,0.92928,0.72777,0.80042,0.44574,1.09308,0.000214046,0.000214046,0.000214046
107,13021.9,0.67218,0.38012,1.03324,0.90994,0.89136,0.9285,0.72417,0.80833,0.44492,1.09687,0.000205723,0.000205723,0.000205723
108,13330,0.66487,0.38026,1.02657,0.941,0.86242,0.92945,0.72579,0.79794,0.43559,1.08876,0.000197532,0.000197532,0.000197532
109,13670,0.66116,0.37403,1.02404,0.92127,0.88969,0.92824,0.72525,0.79941,0.42907,1.08671,0.000189475,0.000189475,0.000189475
110,13833.6,0.66031,0.37536,1.02646,0.94073,0.88948,0.93683,0.73556,0.79325,0.42577,1.0819,0.000181557,0.000181557,0.000181557
111,13921.1,0.65907,0.37366,1.02057,0.94066,0.90043,0.93666,0.73393,0.79419,0.42849,1.08311,0.00017378,0.00017378,0.00017378
112,14010.1,0.64817,0.3668,1.01557,0.93767,0.88062,0.9289,0.72461,0.80377,0.43254,1.09206,0.000166149,0.000166149,0.000166149
113,14104.9,0.65398,0.37321,1.02604,0.93439,0.87099,0.93103,0.72613,0.80048,0.42041,1.08541,0.000158667,0.000158667,0.000158667
114,14203.3,0.64588,0.36726,1.01707,0.95807,0.89256,0.94184,0.73494,0.7883,0.42128,1.08041,0.000151336,0.000151336,0.000151336
115,14307.5,0.65464,0.37615,1.02205,0.93799,0.89856,0.93504,0.73064,0.78658,0.4263,1.08263,0.000144161,0.000144161,0.000144161
116,14420.1,0.64816,0.37366,1.02304,0.93676,0.8863,0.93207,0.72928,0.78954,0.43693,1.08794,0.000137143,0.000137143,0.000137143
117,14528.3,0.6482,0.37008,1.01926,0.92178,0.90163,0.93456,0.72916,0.78953,0.42678,1.08387,0.000130287,0.000130287,0.000130287
118,14628,0.65412,0.36991,1.01731,0.93287,0.89053,0.93144,0.72739,0.78748,0.42449,1.08278,0.000123596,0.000123596,0.000123596
119,14721.7,0.64761,0.36765,1.02101,0.9394,0.89114,0.93651,0.72826,0.78572,0.41742,1.07731,0.000117072,0.000117072,0.000117072
120,14811.3,0.64556,0.36382,1.01296,0.94498,0.90105,0.93482,0.73474,0.78018,0.41217,1.07702,0.000110718,0.000110718,0.000110718
121,15040.8,0.63809,0.361,1.01292,0.92132,0.90934,0.93273,0.73378,0.78478,0.41706,1.07861,0.000104537,0.000104537,0.000104537
122,15363.9,0.6405,0.36356,1.01506,0.92426,0.90251,0.93072,0.73657,0.78247,0.42451,1.07474,9.85311e-05,9.85311e-05,9.85311e-05
123,15580.9,0.64361,0.35905,1.01129,0.93185,0.89258,0.93091,0.7312,0.78605,0.42833,1.08,9.2704e-05,9.2704e-05,9.2704e-05
124,15666.2,0.63283,0.35721,1.0083,0.93812,0.87845,0.93165,0.72933,0.78669,0.42656,1.08076,8.70577e-05,8.70577e-05,8.70577e-05
125,15751.3,0.64414,0.36457,1.01847,0.93956,0.87917,0.93086,0.73458,0.78212,0.42256,1.07877,8.15947e-05,8.15947e-05,8.15947e-05
126,15835.4,0.63529,0.3596,1.01122,0.94213,0.88574,0.93181,0.73322,0.78141,0.41783,1.07637,7.63174e-05,7.63174e-05,7.63174e-05
127,15929.8,0.63047,0.35755,1.00832,0.92943,0.89965,0.92979,0.73205,0.78068,0.4183,1.07744,7.12282e-05,7.12282e-05,7.12282e-05
128,16113.1,0.6412,0.36199,1.01688,0.93097,0.90126,0.92827,0.72939,0.77756,0.41447,1.07184,6.63292e-05,6.63292e-05,6.63292e-05
129,16226.2,0.63186,0.36105,1.01091,0.92202,0.91047,0.9328,0.7333,0.78029,0.4176,1.0764,6.16227e-05,6.16227e-05,6.16227e-05
130,16333.1,0.62719,0.35418,1.01041,0.93379,0.89835,0.9347,0.73262,0.77969,0.41662,1.07764,5.71106e-05,5.71106e-05,5.71106e-05
131,16439,0.63523,0.36336,1.01338,0.94107,0.89666,0.93558,0.73446,0.77374,0.41303,1.07087,5.2795e-05,5.2795e-05,5.2795e-05
132,16523.2,0.62825,0.3554,1.00716,0.94159,0.88877,0.93193,0.72905,0.78192,0.42021,1.077,4.86777e-05,4.86777e-05,4.86777e-05
133,16606.2,0.62069,0.3546,1.0084,0.9192,0.89637,0.93033,0.7324,0.77649,0.41812,1.07265,4.47606e-05,4.47606e-05,4.47606e-05
134,16688.9,0.63769,0.35936,1.00974,0.93641,0.88732,0.93025,0.73388,0.77745,0.41697,1.07397,4.10454e-05,4.10454e-05,4.10454e-05
135,16854.7,0.62848,0.35373,1.00671,0.93071,0.89541,0.93367,0.73538,0.77811,0.41406,1.07412,3.75337e-05,3.75337e-05,3.75337e-05
136,17037.4,0.55061,0.26832,0.95828,0.91939,0.90482,0.93005,0.73146,0.79189,0.42314,1.08391,3.4227e-05,3.4227e-05,3.4227e-05
137,17118.5,0.54374,0.26265,0.95316,0.91326,0.91268,0.93358,0.73361,0.78415,0.4181,1.07985,3.11268e-05,3.11268e-05,3.11268e-05
138,17199.3,0.54193,0.26109,0.95098,0.94954,0.88264,0.93289,0.7335,0.78437,0.41518,1.08046,2.82345e-05,2.82345e-05,2.82345e-05
139,17280.8,0.53774,0.25916,0.95,0.9459,0.89659,0.9359,0.73551,0.7861,0.41444,1.08195,2.55513e-05,2.55513e-05,2.55513e-05
140,17361.6,0.53702,0.25605,0.95346,0.92484,0.91019,0.93594,0.7359,0.78447,0.41487,1.081,2.30784e-05,2.30784e-05,2.30784e-05
141,17451.7,0.53509,0.25572,0.94744,0.94588,0.89139,0.93731,0.73672,0.78014,0.41501,1.0779,2.08169e-05,2.08169e-05,2.08169e-05
142,17532.4,0.53519,0.25803,0.95161,0.94504,0.89312,0.93619,0.73455,0.78454,0.41675,1.08081,1.87678e-05,1.87678e-05,1.87678e-05
143,17616.1,0.53485,0.25733,0.94814,0.93851,0.89381,0.93561,0.73357,0.78651,0.41723,1.08359,1.6932e-05,1.6932e-05,1.6932e-05
144,17717.9,0.53397,0.25523,0.95134,0.92226,0.90561,0.93642,0.7338,0.78701,0.41701,1.08271,1.53102e-05,1.53102e-05,1.53102e-05
145,17801.4,0.5373,0.25734,0.95468,0.93572,0.89154,0.93499,0.73467,0.78469,0.41521,1.08029,1.39032e-05,1.39032e-05,1.39032e-05
146,17886,0.52678,0.25445,0.94555,0.94349,0.89162,0.93442,0.73415,0.7826,0.41573,1.07923,1.27117e-05,1.27117e-05,1.27117e-05
147,17967.9,0.52884,0.2525,0.94248,0.94023,0.89621,0.93417,0.73449,0.78004,0.41498,1.07809,1.1736e-05,1.1736e-05,1.1736e-05
148,18056.8,0.5269,0.25196,0.94246,0.93892,0.90293,0.935,0.73392,0.78121,0.4149,1.07983,1.09768e-05,1.09768e-05,1.09768e-05
149,18138.2,0.52405,0.25109,0.94289,0.93561,0.897,0.93501,0.73385,0.78106,0.41495,1.07905,1.04342e-05,1.04342e-05,1.04342e-05
150,18222.7,0.52381,0.25173,0.93956,0.92994,0.90477,0.9343,0.73332,0.78049,0.41622,1.07772,1.01086e-05,1.01086e-05,1.01086e-05
